Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
050514CP13,05/05/2014,MIDLAND BEACH,Center,20.0,MPN/100 ml
062011GR04,06/20/2011,MANHATTAN BEACH,Left,,Result below detection limit
072808BH09,07/28/2008,MIDLAND BEACH,Right,28.0,MPN/100 ml
051214CP36,05/12/2014,SOUTH BEACH,Right,4.0,MPN/100 ml
081511KB07,08/15/2011,CEDAR GROVE,Left,360.0,MPN/100 ml
062909KB01,06/29/2009,MANHATTAN BEACH,Left,8.0,MPN/100 ml
082112KB07,08/21/2012,CEDAR GROVE,Left,20.0,MPN/100 ml
072015GR06,07/20/2015,MANHATTAN BEACH,Right,,Result below detection limit
082613CP16,08/26/2013,SOUTH BEACH,Center,12.0,MPN/100 ml
081709KB07,08/17/2009,MIDLAND BEACH,Left,4.0,MPN/100 ml
082911SG01,08/29/2011,ORCHARD BEACH,Left,4.0,MPN/100 ml
050707BH11,05/07/2007,SOUTH BEACH,Center,4.0,MPN/100 ml
070714GR01,07/07/2014,GERRITSEN/KIDDIE BEACH,Left,4.0,MPN/100 ml
082807BH10,08/28/2007,SOUTH BEACH,Left,56.0,MPN/100 ml
072909SG07,07/29/2009,ORCHARD BEACH,Left,8.0,MPN/100 ml
042511GR14,04/25/2011,SEAGATE BEACH - 38TH STREET,Left,480.0,MPN/100 ml
042109IM10,04/21/2009,DANISH AMERICAN BEACH CLUB,Left,760.0,MPN/100 ml
050509IM13,05/05/2009,MANHEM BEACH CLUB,Left,260.0,MPN/100 ml
082107BH12,08/21/2007,SOUTH BEACH,Right,68.0,MPN/100 ml
082305MR02,08/23/2005,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,16.0,MPN/100 ml
060209GR09,06/02/2009,ROCKAWAY BEACH 15TH - 22TH,Center,,Result below detection limit
050112GR13,05/01/2012,MANHEM BEACH CLUB,Left,60.0,MPN/100 ml
072808GR17,07/28/2008,SEAGATE BEACH - 38TH STREET,Left,8.0,MPN/100 ml
073012KB04,07/30/2012,WOLFE'S POND PARK,Left,16.0,MPN/100 ml
081210KB06,08/12/2010,CONEY ISLAND WEST 16TH - WEST 27TH,Right,48.0,MPN/100 ml
080410GR04,08/04/2010,ROCKAWAY BEACH 116TH - 126TH,Center,,Result below detection limit
080707NR04,08/07/2007,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,4.0,MPN/100 ml
072610GR09,07/26/2010,KINGSBOROUGH COMMUNITY COLLEGE,Right,64.0,MPN/100 ml
081710GR09,08/17/2010,KINGSBOROUGH COMMUNITY COLLEGE,Right,320.0,MPN/100 ml
082410IM13,08/24/2010,SEAGATE BEACH - 38TH STREET,Right,4.0,MPN/100 ml
051914GR02,05/19/2014,GERRITSEN/KIDDIE BEACH,Center,72.0,MPN/100 ml
073007BH02,07/30/2007,SI YMCA OF GREATER NEW YORK,Center,,Result below detection limit
080310GR04,08/03/2010,WHITE CROSS FISHING CLUB,Left,,Result below detection limit
082410IM11,08/24/2010,SEAGATE BEACH - 38TH STREET,Left,8.0,MPN/100 ml
070913GR13,07/09/2013,CONEY ISLAND WEST 8TH - PIER,Center,,Result below detection limit
091108BH03,09/11/2008,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,12.0,MPN/100 ml
042413GR14,04/24/2013,BREEZY POINT - 219TH STREET,Right,,Result below detection limit
050913GR01,05/09/2013,BREEZY POINT - REID AVE.,Left,72.0,MPN/100 ml
062408GR10,06/24/2008,DANISH AMERICAN BEACH CLUB,Left,4.0,MPN/100 ml
062006BH10,06/20/2006,SOUTH BEACH,Right,4.0,MPN/100 ml
071905MR11,07/19/2005,MORRIS YACHT AND BEACH CLUB,Center,8.0,MPN/100 ml
082509GR07,08/25/2009,ROCKAWAY BEACH 59TH - 80TH,Center,8.0,MPN/100 ml
081307BH24,08/13/2007,SCHUYLER HILL CIVIC ASSOCIATION,Center,4.0,MPN/100 ml
060209IM02,06/02/2009,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,8.0,MPN/100 ml
063015CP11,06/30/2015,DANISH AMERICAN BEACH CLUB,Center,36.0,MPN/100 ml
051408BH01,05/14/2008,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,8.0,MPN/100 ml
071514CP02,07/15/2014,CONEY ISLAND WEST 16TH - WEST 27TH,Center,96.0,MPN/100 ml
072511KB09,07/25/2011,CEDAR GROVE,Right,,Result below detection limit
050112KB10,05/01/2012,WEST FORDHAM STREET ASSOCIATION,Left,120.0,MPN/100 ml
071812GR02,07/18/2012,BREEZY POINT - REID AVE.,Center,16.0,MPN/100 ml
060908BH07,06/09/2008,MIDLAND BEACH,Left,,Result below detection limit
043013GR13,04/30/2013,MANHEM BEACH CLUB,Left,4.0,MPN/100 ml
