Period,Total
"October 2002","883463"
"November 2002","834183"
"December 2002","853616"
"January 2003","858235"
"February 2003","756910"
"March 2003","873347"
"April 2003","836778"
"May 2003","861385"
"June 2003","877150"
"July 2003","918202"
"August 2003","919709"
"September 2003","855050"
"October 2003","889321"
"November 2003","836184"
"December 2003","871381"
"January 2004","861450"
"February 2004","833419"
"March 2004","913197"
"April 2004","895737"
"May 2004","913868"
"June 2004","922734"
"July 2004","966266"
"August 2004","977178"
"September 2004","895866"
"October 2004","936697"
"November 2004","892359"
"December 2004","913373"
"January 2005","887921"
"February 2005","834657"
"March 2005","953274"
"April 2005","921564"
"May 2005","958580"
"June 2005","953560"
"July 2005","985454"
"August 2005","986082"
"September 2005","895792"
"October 2005","908897"
"November 2005","873083"
"December 2005","879784"
"January 2006","865181"
"February 2006","789491"
"March 2006","909826"
"April 2006","877226"
"May 2006","908133"
"June 2006","909152"
"July 2006","948488"
"August 2006","962559"
"September 2006","880660"
"October 2006","905251"
"November 2006","867141"
"December 2006","885584"
"January 2007","886136"
"February 2007","799849"
"March 2007","917235"
"April 2007","893288"
"May 2007","929257"
"June 2007","923745"
"July 2007","962463"
"August 2007","970945"
"September 2007","887376"
"October 2007","919002"
"November 2007","881417"
"December 2007","885865"
"January 2008","876105"
"February 2008","824853"
"March 2008","905103"
"April 2008","882114"
"May 2008","905619"
"June 2008","905350"
"July 2008","940760"
"August 2008","918415"
"September 2008","804265"
"October 2008","832539"
"November 2008","778859"
"December 2008","795256"
"January 2009","787834"
"February 2009","731931"
"March 2009","829443"
"April 2009","808424"
"May 2009","827429"
"June 2009","843567"
"July 2009","885129"
"August 2009","872942"
"September 2009","786273"
"October 2009","800680"
"November 2009","767091"
"December 2009","781223"
"January 2010","773848"
"February 2010","694852"
"March 2010","823745"
"April 2010","801912"
"May 2010","826013"
"June 2010","840472"
"July 2010","880716"
"August 2010","877323"
"September 2010","798280"
"October 2010","816235"
"November 2010","779476"
"December 2010","781182"
"January 2011","762952"
"February 2011","700172"
"March 2011","842713"
"April 2011","803156"
"May 2011","828632"
"June 2011","847226"
"July 2011","883789"
"August 2011","864710"
"September 2011","789820"
"October 2011","803947"
"November 2011","758665"
"December 2011","782311"
"January 2012","759391"
"February 2012","725843"
"March 2012","818043"
"April 2012","791100"
"May 2012","813573"
"June 2012","827468"
"July 2012","855309"
"August 2012","851877"
"September 2012","759941"
"October 2012","774018"
"November 2012","745299"
"December 2012","750332"
"January 2013","743064"
"February 2013","683107"
"March 2013","797068"
"April 2013","775693"
"May 2013","807846"
"June 2013","810970"
"July 2013","849511"
"August 2013","844382"
"September 2013","763072"
"October 2013","787625"
"November 2013","731725"
"December 2013","742696"
"January 2014","705702"
"February 2014","652946"
"March 2014","786174"
"April 2014","761380"
"May 2014","783699"
"June 2014","798699"
"July 2014","839426"
"August 2014","824472"
"September 2014","746219"
"October 2014","772745"
"November 2014","727062"
"December 2014","749629"
"January 2015","716894"
"February 2015","645632"
"March 2015","770410"
"April 2015","754436"
"May 2015","777263"
"June 2015","788961"
"July 2015","832298"
"August 2015","820852"
"September 2015","738109"
"October 2015","764642"
"November 2015","725638"
"December 2015","740892"
"January 2016","718644"
"February 2016","690174"
"March 2016","784062"
"April 2016","758602"
"May 2016","788963"
"June 2016","803990"
"July 2016","827948"
"August 2016","826004"
"September 2016","752158"
"October 2016","765697"
"November 2016","731751"
"December 2016","744854"
"January 2017","727328"
"February 2017","666946"
"March 2017","783454"
"April 2017","758016"
"May 2017","793665"
"June 2017","810890"
"July 2017","837934"
"August 2017","828757"
"September 2017","728631"
"October 2017","769757"
"November 2017","730664"
"December 2017","749755"
"January 2018","732453"
"February 2018","673932"
"March 2018","784775"
"April 2018","776733"
