"INDEX_NR","OPID","OPERATOR","ATYPE","AMA","AMO","EMA","EMO","AC_CLASS","AC_MASS","NUM_ENGS","TYPE_ENG","ENG_1_POS","ENG_2_POS","ENG_3_POS","ENG_4_POS","REG","FLT","REMAINS_COLLECTED","REMAINS_SENT","INCIDENT_DATE","INCIDENT_MONTH","INCIDENT_YEAR","TIME_OF_DAY","TIME","AIRPORT_ID","AIRPORT","STATE","FAAREGION","ENROUTE","RUNWAY","LOCATION","HEIGHT","SPEED","DISTANCE","PHASE_OF_FLT","DAMAGE","STR_RAD","DAM_RAD","STR_WINDSHLD","DAM_WINDSHLD","STR_NOSE","DAM_NOSE","STR_ENG1","DAM_ENG1","STR_ENG2","DAM_ENG2","STR_ENG3","DAM_ENG3","STR_ENG4","DAM_ENG4","INGESTED","STR_PROP","DAM_PROP","STR_WING_ROT","DAM_WING_ROT","STR_FUSE","DAM_FUSE","STR_LG","DAM_LG","STR_TAIL","DAM_TAIL","STR_LGHTS","DAM_LGHTS","STR_OTHER","DAM_OTHER","OTHER_SPECIFY","EFFECT","EFFECT_OTHER","SKY","PRECIP","SPECIES_ID","SPECIES","BIRDS_SEEN","BIRDS_STRUCK","SIZE","WARNED","COMMENTS","REMARKS","AOS","COST_REPAIRS","COST_OTHER","COST_REPAIRS_INFL_ADJ","COST_OTHER_INFL_ADJ","REPORTED_NAME","REPORTED_TITLE","REPORTED_DATE","SOURCE","PERSON","NR_INJURIES","NR_FATALITIES","LUPDATE","TRANSFER","INDICATED_DAMAGE"
2276,"MIL","MILITARY","KC-135","148",,,,"A",,,,,,,,,,0,0,"5/8/90, 12:00:00 AM",5,1990,"Night",145,"KBYH","ARKANSAS INTERNATIONAL ARPT","AR","ASW",,,,1800,180,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium","1","1","Medium",,"SOURCE = BASH NR xxxxx","REMARKS -  ;  AIRCRAFT -  KC - 135 - ;  IMPACT -  LT WING INBD FLAP;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
17953,"MIL","MILITARY","C-130","561","12",,,"A","4","4","C","4","4","4","4",,,0,0,"9/9/15, 12:00:00 AM",9,2015,,1500,"KSTJ","ROSECRANS MEMORIAL ARPT","MO","ACE",,,,0,,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNK",,,,,,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
17954,"MIL","MILITARY","U-28","726",,"31","04","A","2","1","C",,,,,,,0,0,"9/10/15, 12:00:00 AM",9,2015,,1459,"KAAF","APALACHICOLA REGIONAL ARPT","FL","ASO",,,,700,,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNK",,,,,,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
17194,"MIL","MILITARY","C-135","148",,,,"A",,,,,,,,,,0,0,"8/3/13, 12:00:00 AM",8,2013,,1750,"KLCK","RICKENBACKER INTL","OH","AGL",,,,600,,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"N5111","Killdeer",,,"Small",,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"11/18/13, 12:00:00 AM",0,0
17195,"MIL","MILITARY","C-135","148",,,,"A",,,,,,,,,,0,0,"8/5/13, 12:00:00 AM",8,2013,,1600,"KBLV","SCOTT AFB/MIDAMERICA ARPT","IL","AGL",,,,150,,,"Approach","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"ZT001","Eastern meadowlark",,,"Small",,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"11/18/13, 12:00:00 AM",0,0
17618,"MIL","MILITARY","C-37","561",,,,"A",,,,,,,,,,0,0,"5/9/14, 12:00:00 AM",5,2014,,738,"KADW","JOINT BASE ANDREWS","MD","AEA",,,,,,,"Climb","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNK",,,,,,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
17619,"MIL","MILITARY","T-1","748",,,,"A",,"2","D",,,,,,,0,0,"5/14/14, 12:00:00 AM",5,2014,,1145,"KABI","ABILENE REGIONAL ARPT","TX","ASW",,,,0,,,"Landing","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Y","Perching birds (y)",,,"Small",,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
17620,"MIL","MILITARY","F-16","561",,,,"A",,,,,,,,,,0,0,"5/15/14, 12:00:00 AM",5,2014,,1730,"KHST","HOMESTEAD AIR RESERVE BASE","FL","ASO",,,,0,,,"Landing","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"ZT001","Eastern meadowlark",,,"Small",,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
10297,"MIL","MILITARY","KC-135R",,,,,"A",,,,,,,,,,0,0,"3/28/06, 12:00:00 AM",3,2006,"Night",,"KSUX","SIOUX GATEWAY ARPT/COL. BUD DAY FIELD","IA","ACE",,,,,,,"Approach","N",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"Z","Perching birds (z)",,,"Small",,"SOURCE = BASH NR xxxxxx",,0,,0,,0,,,,"BASH",,,,"10/21/09, 12:00:00 AM",0,0
1515,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,1,1,"7/11/98, 12:00:00 AM",7,1998,,,"KSUX","SIOUX GATEWAY ARPT/COL. BUD DAY FIELD","IA","ACE",,,,0,0,0,"Landing Roll","N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"YH004","Horned lark",,,"Small",,"SOURCE = BASH NR xxxxx","REMARKS -  ;  AIRCRAFT -   -  - ;  IMPACT -  ;  NUMBER OF BIRDS (S, F, or Z) -  Z",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
10643,"MIL","MILITARY","KC-135R",,,,,"A",,,,,,,,,,0,0,"10/20/06, 12:00:00 AM",10,2006,"Day",1015,"KIAG","NIAGARA FALLS INTL","NY","AEA",,,,0,143,,"Take-off run","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"O2111","Rock pigeon",,,"Small",,"SOURCE = BASH NR xxxxxx (x/xx/xx UPDATED BIRD CODE)",,0,,0,,0,,,,"BASH",,,,"7/24/13, 12:00:00 AM",0,0
10481,"MIL","MILITARY","KC-135R",,,,,"A",,,,,,,,,,0,0,"4/29/06, 12:00:00 AM",4,2006,"Day",1430,"KSLC","SALT LAKE CITY INTL","UT","ANM",,,,8000,200,,"Approach","E",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"K3305","Swainson's hawk",,,"Medium",,"SOURCE = BASH NR xxxxxx",,0,3050,0,3766,0,,,,"BASH",,,,"10/21/09, 12:00:00 AM",0,1
10626,"MIL","MILITARY","E-4B","148",,"22","07","A","5","4","D","1","1","1","1",,,0,0,"10/12/06, 12:00:00 AM",10,2006,"Night",,"KLNK","LINCOLN ARPT","NE","ACE",,,,,,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"ZX3","Sparrows",,,"Small",,"SOURCE = BASH NR xxxxxx",,0,,0,,0,,,,"BASH",,,,"10/21/09, 12:00:00 AM",0,0
17633,"MIL","MILITARY","C-130","561","12",,,"A","4","4","C","4","4","4","4",,,0,0,"7/8/14, 12:00:00 AM",7,2014,,940,"KSAV","SAVANNAH/HILTON HEAD INTL ARPT","GA","ASO",,,,0,,,"Take-off run","N",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"T1002","Chimney swift",,,"Small",,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
17634,"MIL","MILITARY","C-135","148",,,,"A",,,,,,,,,,0,0,"7/8/14, 12:00:00 AM",7,2014,,1907,"KMEI","KEY FLD","MS","ASO",,,,,,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNK",,,,,,"SOURCE = BASH NR xxxxxx",,,,,,,"Deleted","Deleted",,"BASH",,,,"10/16/15, 12:00:00 AM",0,0
