"Date","Cannabis","Average Cannabis","Cumulative Cannabis","Ecstasy","Average Ecstasy","Cumulative Ecstasy","Stimulants","Average Stimulants","Cumulative Stimulants","Misc","Average Misc","Cumulative Misc","Psychedelics","Average Psychedelics","Cumulative Psychedelics","Benzos","Average Benzos","Cumulative Benzos","Opioids","Average Opioids","Cumulative Opioids","Dissociatives","Average Dissociatives","Cumulative Dissociatives","Digital Goods","Average Digital Goods","Cumulative Digital Goods","Prescription","Average Prescription","Cumulative Prescription","Other","Average Other","Cumulative Other"
"2014-01-13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","125.3","159.84","125.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","732.42","4010.0","732.42","0.0","0.0","0.0","0.0","0.0","0.0"
"2014-01-14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.98","169.56","206.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2273.76","6514.91","3006.17","0.0","0.0","0.0","0.0","1.46","0.0"
"2014-01-15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","236.19","194.97","442.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12809.24","7883.46","15815.41","0.0","0.0","0.0","0.0","1.46","0.0"
"2014-01-16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","676.38","248.86","1118.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12254.6","9954.34","28070.01","0.0","0.0","0.0","0.0","2.91","0.0"
"2014-01-17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.04","242.92","1186.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17534.36","13553.36","45604.38","0.0","0.0","0.0","10.23","2.91","10.23"
"2014-01-18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","177.91","253.56","1364.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9579.83","16017.84","55184.21","0.0","0.0","0.0","0.0","4.4","10.23"
"2014-01-19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","377.18","244.2","1741.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14496.2","16999.25","69680.41","0.0","0.0","0.0","10.16","4.4","20.39"
"2014-01-20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83.77","167.76","1825.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25925.52","16155.13","95605.93","0.0","0.0","0.0","0.0","4.4","20.39"
"2014-01-21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","155.46","186.76","1981.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19525.15","16087.02","115131.08","0.0","0.0","0.0","10.42","2.94","30.81"
"2014-01-22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.68","171.22","2151.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19679.12","16965.36","134810.2","0.0","0.0","0.0","0.0","2.94","30.81"
"2014-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","141.3","385.47","2293.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6345.72","17039.74","141155.91","0.0","0.0","0.0","0.0","308.32","30.81"
"2014-01-24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","201.04","396.72","2494.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17057.62","16021.82","158213.53","0.0","0.0","0.0","0.0","308.32","30.81"
"2014-01-25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69.13","762.04","2563.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15728.16","15941.37","173941.7","0.0","0.0","0.0","0.0","306.83","30.81"
"2014-01-26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1876.95","770.93","4440.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15016.92","14699.0","188958.62","0.0","0.0","0.0","2147.81","308.28","2178.62"
"2014-01-27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","162.47","827.27","4602.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18800.06","16038.8","207758.68","0.0","0.0","0.0","0.0","308.28","2178.62"
"2014-01-28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2712.74","838.33","7315.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18961.96","16108.88","226720.64","0.0","0.0","0.0","0.0","308.28","2178.62"
"2014-01-29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","232.92","848.97","7548.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10982.54","14326.55","237703.18","0.0","0.0","0.0","10.16","308.28","2188.79"
"2014-01-30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","535.65","710.52","8084.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15724.34","13831.37","253427.53","0.0","0.0","0.0","0.0","1.45","2188.79"
"2014-01-31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","278.46","729.86","8362.56","0.0","0.0","0.0","0.0","10.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17548.13","12030.8","270975.66","0.0","0.0","0.0","0.0","1.45","2188.79"
"2014-02-01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","143.58","484.17","8506.14","0.0","0.0","0.0","0.0","10.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3251.9","11321.64","274227.56","0.0","0.0","0.0","0.0","3.42","2188.79"
"2014-02-02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","907.83","576.51","9413.97","0.0","0.0","0.0","0.0","10.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11550.63","12120.91","285778.19","0.0","0.0","0.0","0.0","1.97","2188.79"
"2014-02-03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","297.82","554.2","9711.79","0.0","0.0","0.0","73.8","10.54","73.8","0.0","0.0","0.0","0.0","0.0","0.0","6196.1","11233.22","291974.29","0.0","0.0","0.0","0.0","3.43","2188.79"
"2014-02-04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","992.92","553.75","10704.71","0.0","0.0","0.0","0.0","10.54","73.8","0.0","0.0","0.0","0.0","0.0","0.0","13997.84","10102.46","305972.14","0.0","0.0","0.0","13.79","4.89","2202.57"
"2014-02-05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","879.27","585.94","11583.98","0.0","0.0","0.0","0.0","10.54","73.8","0.0","0.0","0.0","0.0","0.0","0.0","16577.4","10942.97","322549.54","0.0","0.0","0.0","0.0","4.89","2202.57"
"2014-02-06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","379.51","482.47","11963.5","0.0","0.0","0.0","0.0","10.54","73.8","0.0","0.0","0.0","0.0","0.0","0.0","9510.5","11519.13","332060.04","0.0","0.0","0.0","10.23","4.89","2212.8"
"2014-02-07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","275.29","456.73","12238.79","0.0","1.76","0.0","0.0","0.0","73.8","0.0","0.0","0.0","0.0","0.0","0.0","9632.87","12395.67","341692.9","0.0","0.0","0.0","10.23","4.89","2223.03"
"2014-02-08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","368.93","335.45","12607.72","0.0","1.76","0.0","0.0","0.0","73.8","0.0","0.0","0.0","0.0","0.0","0.0","9135.42","14572.23","350828.33","0.0","0.0","0.0","0.0","47.35","2223.03"
"2014-02-09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","183.51","248.45","12791.22","0.0","1.76","0.0","0.0","0.0","73.8","0.0","0.0","0.0","0.0","0.0","0.0","15583.81","13715.95","366412.13","0.0","0.0","0.0","0.0","50.74","2223.03"
